,Names,Prices,Ratings,images,Links
10,"SAMSUNG Galaxy M14 4G (Sapphire Blue, 64 GB)","₹13,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/x/x/galaxy-m14-4g-sm-m145f-samsung-original-imagys3yj4nfh5bs.jpeg?q=70,https://www.flipkart.com//samsung-galaxy-m14-4g-sapphire-blue-64-gb/p/itm3193199adbbec?pid=MOBGYYZ8AGMMDB8H&lid=LSTMOBGYYZ8AGMMDB8HUTL9UP&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBGYYZ8AGMMDB8H.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
11,"SAMSUNG Galaxy M35 5G (Thunder Grey, 128 GB)","₹14,974",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/d/d/-original-imah8pvv87hy3tsg.jpeg?q=70,https://www.flipkart.com//samsung-galaxy-m35-5g-thunder-grey-128-gb/p/itm94360d23ec184?pid=MOBH2Z9HJYYQBFGD&lid=LSTMOBH2Z9HJYYQBFGDGYJUYV&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBH2Z9HJYYQBFGD.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
12,"SAMSUNG Galaxy A05 (Light Green, 64 GB)","₹7,699",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/p/i/galaxy-a05-sm-a055flgdins-samsung-original-imagvvwkjfrnhsy5.jpeg?q=70,https://www.flipkart.com//samsung-galaxy-a05-light-green-64-gb/p/itmf37d39ccf9aea?pid=MOBGTZ6WZWHSZCYK&lid=LSTMOBGTZ6WZWHSZCYKTRCDBF&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBGTZ6WZWHSZCYK.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
13,"SAMSUNG Galaxy A05 (Black, 128 GB)","₹12,499",3.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/b/f/galaxy-a05-sm-a055fzkdins-samsung-original-imagvvwmbxfxrp4z.jpeg?q=70,https://www.flipkart.com//samsung-galaxy-a05-black-128-gb/p/itmcc54e5fcafaaa?pid=MOBGTZ6WHHKKUAMH&lid=LSTMOBGTZ6WHHKKUAMHTAPFFM&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBGTZ6WHHKKUAMH.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
14,SAMSUNG 1200,"₹1,099",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/7/e/1200-1200-samsung-original-imah7n6vamgff8n9.jpeg?q=70,https://www.flipkart.com//samsung-1200/p/itm3fa319b0e0888?pid=MOBH7N6VE7GBEHND&lid=LSTMOBH7N6VE7GBEHNDIXJPL0&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBH7N6VE7GBEHND.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
15,"SAMSUNG Galaxy M35 5G (DayBreak Blue, 128 GB)","₹14,959",3.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/0/p/-original-imah8pvv5fzp9xcb.jpeg?q=70,https://www.flipkart.com//samsung-galaxy-m35-5g-daybreak-blue-128-gb/p/itm1a53e8f5191db?pid=MOBH2Y7HKCYDEHFZ&lid=LSTMOBH2Y7HKCYDEHFZ8AJLNZ&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBH2Y7HKCYDEHFZ.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
16,SAMSUNG Guru Music 2 B310ED,"₹1,749",3.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/r/w/guru-music-2-b310ed-sm-b310ed-samsung-original-imah896z4fdagfzm.jpeg?q=70,https://www.flipkart.com//samsung-guru-music-2-b310ed/p/itm4d30dee7fbb5a?pid=MOBH65JYKTMAQ8TY&lid=LSTMOBH65JYKTMAQ8TYZWYFPC&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBH65JYKTMAQ8TY.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
17,SAMSUNG Sm-B110E/D,"₹1,600",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/b/d/sm-b110e-d-sm-b110e-d-samsung-original-imah2cwqahw9vyv3.jpeg?q=70,https://www.flipkart.com//samsung-sm-b110e-d/p/itmebhmy4y9fse4z?pid=MOBEBHMYA9RDH6KW&lid=LSTMOBEBHMYA9RDH6KW0LZPCK&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBEBHMYA9RDH6KW.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
18,"SAMSUNG Galaxy M35 5G (Thunder Grey, 128 GB)","₹17,190",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/1/7/f/galaxy-m35-5g-sm-m356b-samsung-original-imah3febzvtjehue.jpeg?q=70,https://www.flipkart.com//samsung-galaxy-m35-5g-thunder-grey-128-gb/p/itm94360d23ec184?pid=MOBH2Z9YE2ZF9E6P&lid=LSTMOBH2Z9YE2ZF9E6PXUF1QG&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBH2Z9YE2ZF9E6P.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
19,"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹12,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/e/l/-original-imah3agqmmzap5gx.jpeg?q=70,https://www.flipkart.com//samsung-galaxy-f15-5g-jazzy-green-128-gb/p/itm3202236886884?pid=MOBGYBAVT967G37V&lid=LSTMOBGYBAVT967G37VWBN6IA&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBGYBAVT967G37V.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
